mobile_app_rating,personal_banker_rating
3.5,2.4
3.65,3.14
2.9,2.75
2.93,3.36
2.89,2.62
2.61,2.51
3.31,3.12
3.76,3.07
3,3.17
0.88,3
3.3,2.83
2.92,2.17
4.25,3
3.33,2.7
3.96,2
3.75,3.12
2.75,2.65
3.41,3.09
2.93,3.43
2.33,2.72
4.33,2.5
3.67,2.77
3,2.89
3.68,2.93
2.87,3.02
3.81,2.38
2.5,4.06
3.35,3.17
2.17,3
4.18,0.5
3.68,3.14
3.09,2.75
4.22,3
3.4,2
3.39,3.18
2.42,2.98
3,2.67
2.6,2.57
4.5,2.55
2.93,3.59
3.14,3.02
4.56,3.17
4.09,2.5
3.29,3
3.89,2.83
2.91,2.99
3,2.5
4.5,3
3.4,3
3.44,3.17
3.06,3.04
3.86,2.5
3.78,3
3.68,3.19
3.25,2.67
3.62,2.8
2.9,2.84
3.2,2
2.88,3.33
3.26,2.97
2.44,2.9
3.53,2.85
2.83,3
3.35,2.83
2.92,3.07
2.78,3
3.43,1
3.67,2
2.39,2.59
3.27,3.03
4,2
2,3.75
2.67,2.75
3.64,3
2.89,3.8
3.5,3
3.62,2
3.06,2.85
3.41,2.63
3.49,3.19
3.44,3
4.11,2
2.25,3.25
3.7,3
4,2.83
3.33,2.5
1,4.5
4.67,2.9
3.9,0.5
2.75,4.21
4.5,3.17
2.58,2.5
3.29,2.85
3.5,2.83
3.75,1.56
4.14,2.85
4,2
3.55,2.8
2.62,3
3.21,2.62
3.74,2.4
3.08,2.47
3.4,3.08
2.86,2.46
3.7,2.5
3.91,2.5
2.87,3.67
2,3.56
3.37,3.19
3.75,3
3.07,2.68
3.23,2.5
3.41,2.9
3.55,3
3.2,2.17
3.96,3
2.3,3.5
1.58,2.86
2.9,2.5
3.92,3.13
3.5,2.33
3.22,2.84
3.1,2.86
3.04,3.11
2.57,2.05
2.86,2.72
3.33,2.92
3.82,3
2.83,2.68
2.82,2.76
2.83,2.38
3.67,3
3.5,3
3.47,2.67
3.07,2.93
3.39,1.81
2,2.67
3.39,2.9
3.5,3.17
3.24,3.1
3.46,2.75
3.02,3.1
2.93,3.3
3.34,3.02
3.5,2.89
3.34,2.81
2.33,3
3.2,2.33
3.86,3
3,2.57
1.75,4
2.75,3.17
4.27,2
4.06,2.66
3.64,2.67
3.59,3
3.19,1.83
3.36,3.07
4.2,3.17
3.81,3.09
3.04,2.67
4.19,2.9
3.71,2.17
3.06,2.6
3.67,3
3.04,2.88
2.8,2.69
3,2.79
2.66,3.42
4,2.4
4.58,3.17
3,2.8
3.5,2.3
3.25,2.71
3.38,2.71
2,4.83
3.63,2.58
3.46,2.45
3.44,3
2.4,2.8
3.25,2.88
3.5,2.4
3.59,3.8